victim_id,criticality
VIC20100001032706,0.05383037030696869
VIC20120000441519,0.09682909399271011
VIC20130000014119,0.039859481155872345
VIC20140000614145,0.04695266857743263
VIC20090002298916,0.16345752775669098
VIC20130001116006,0.02029285952448845
VIC20140001186412,0.0012324514100328088
VIC20120000876886,0.015414923429489136
VIC20100000926720,0.011434643529355526
VIC20090000802576,0.1273907572031021
VIC20090002108099,0.12201528996229172
VIC20130000415074,0.0032731457613408566
VIC20090001765182,0.14175084233283997
VIC20100001564228,0.014449856244027615
VIC20120001853819,0.01869690604507923
VIC20120000404299,0.03748161718249321
VIC20120000373648,0.0007258709520101547
VIC20130000210989,0.0389820896089077
VIC20110000478281,0.018868548795580864
VIC20140000538631,0.011583743616938591
VIC20090001636577,0.1563529521226883
VIC20140000124131,0.020878883078694344
VIC20120001532546,0.02225455455482006
VIC20090001972800,0.0020847704727202654
VIC20140000141107,0.03878052905201912
VIC20090000242641,0.046901967376470566
VIC20140001303937,0.02777395211160183
VIC20140000041310,0.2914416193962097
VIC20140000548855,0.04689321666955948
VIC20120001938635,0.04396906495094299
VIC20100000461700,0.012779643759131432
VIC20110000305788,0.1342247724533081
VIC20110001183953,0.01719631999731064
VIC20090002069799,0.02766708843410015
VIC20120000040621,0.006901804823428392
VIC20090001593954,0.09879689663648605
VIC20090001790662,0.04308643192052841
VIC20100001350496,0.019384125247597694
VIC20140000421373,0.1271434724330902
VIC20100000231240,0.09732595086097717
VIC20090001410387,0.26298969984054565
VIC20120001982666,0.010954300872981548
VIC20110000107857,0.022842690348625183
VIC20100000128610,0.001213150448165834
VIC20100001354286,0.015616921707987785
VIC20130001484532,0.01978013478219509
VIC20100000268946,0.02849998138844967
VIC20100002442255,0.0010519289644435048
VIC20130001349125,0.014295433647930622
VIC20120000137271,0.030926939100027084
VIC20100000639368,0.04080940783023834
VIC20090000982782,0.0696316733956337
VIC20140000353337,0.0014428391586989164
VIC20100002021994,0.04823813959956169
VIC20110000326793,0.027529295533895493
VIC20120001990119,0.04071392863988876
VIC20140000228473,0.032550498843193054
VIC20110002307751,0.010826953686773777
VIC20100002533280,0.009960183873772621
VIC20100002084910,0.020383834838867188
VIC20120000091733,0.01924154721200466
VIC20100001913829,0.0011228000512346625
VIC20140000724049,0.0732300654053688
VIC20120000282975,0.022900575771927834
VIC20110002258983,0.009616007097065449
VIC20130001217956,0.020200319588184357
VIC20100001471572,0.04142814502120018
VIC20110000160817,0.01456865482032299
VIC20130000118772,0.08905230462551117
VIC20130000276712,0.0580521859228611
VIC20090001793860,0.2728899419307709
VIC20110000007899,0.03232742100954056
VIC20100002290737,0.015837667509913445
VIC20120001224748,0.013905791565775871
VIC20140001209290,0.24166639149188995
VIC20090002373775,0.07892309129238129
VIC20110002254489,0.013124668039381504
VIC20100000837348,0.022501153871417046
VIC20140001269000,0.14540977776050568
VIC20130001270263,0.0984644964337349
VIC20130000539853,0.01169759500771761
VIC20140000547408,0.0008354770834557712
VIC20090000103829,0.06614568829536438
VIC20100000600295,0.031633369624614716
VIC20130001455053,0.011989414691925049
VIC20140000211189,0.0118028549477458
VIC20110001333418,0.03997344151139259
VIC20130001288691,0.025017699226737022
VIC20100002528392,0.018150106072425842
VIC20110000960006,0.0056740413419902325
VIC20130000139686,0.0025701429694890976
VIC20140000069360,0.014091257005929947
VIC20120001237753,0.01765727810561657
VIC20110000990986,0.000545377959497273
VIC20140000015282,0.002452984917908907
VIC20130000197834,0.10008306801319122
VIC20100001987608,0.005768985953181982
VIC20110002313048,0.01777278073132038
VIC20130001454379,0.04486998915672302
VIC20090000808055,0.1713525354862213
VIC20120000730349,0.0011864291736856103
VIC20140000473987,0.19979147613048553
